organism,record_id,record_length,k,shannon_entropy,kmer_diversity
Caenorhabditis_elegans,NC_003279.8,15072434,4,7.631491478968935,1.698465230990276e-05
Caenorhabditis_elegans,NC_003280.10,15279421,4,7.660707637427487,1.675456486627959e-05
Caenorhabditis_elegans,NC_003281.10,13783801,4,7.618389892375049,1.8572529864410375e-05
Caenorhabditis_elegans,NC_003282.8,17493829,4,7.601608559286142,1.4633734210000716e-05
Caenorhabditis_elegans,NC_003283.11,20924180,4,7.642293854507534,1.2234650853890216e-05
Caenorhabditis_elegans,NC_003284.9,17718942,4,7.648768143599676,1.4447817671249955e-05
Caenorhabditis_elegans,NC_001328.1,13794,4,6.977735820402818,0.018562830831701835
Neurospora_crassa,NC_026501.1,9788318,4,7.968852901178354,2.6153633184056705e-05
Neurospora_crassa,NC_026502.1,4473083,4,7.963924299334493,5.723125899827412e-05
Neurospora_crassa,NC_026503.1,5270302,4,7.967265962486163,4.8574094183271194e-05
Neurospora_crassa,NC_026504.1,5996061,4,7.96666908408278,4.269471709579861e-05
Neurospora_crassa,NC_026505.1,6432046,4,7.967951416065247,3.9800728944131746e-05
Neurospora_crassa,NC_026506.1,4214584,4,7.964424653585643,6.074150668832797e-05
Neurospora_crassa,NC_026507.1,4251003,4,7.960407641745266,6.022112444130793e-05
Neurospora_crassa,NW_011929459.1,191908,4,7.036469692244187,0.0013339933821422058
Neurospora_crassa,NW_011929460.1,142273,4,6.945158193433903,0.0017923666268362972
Neurospora_crassa,NW_011929461.1,123604,4,7.047133736539552,0.0020711806538782048
Neurospora_crassa,NW_011929462.1,31596,4,7.056002258389061,0.008103060804608616
Neurospora_crassa,NW_011929463.1,19714,4,6.902106706923102,0.012886205671959819
Neurospora_crassa,NW_011929464.1,13515,4,6.971233697131117,0.018576080521018355
Neurospora_crassa,NW_011929465.1,11465,4,6.889604328267847,0.021462222997731636
Neurospora_crassa,NW_011929466.1,8897,4,6.932137302979804,0.027996402068810433
Neurospora_crassa,NW_011929467.1,8983,4,6.880194689586925,0.02683741648106904
Neurospora_crassa,NW_011929468.1,6701,4,6.975249147095998,0.03642878471185428
Neurospora_crassa,NW_011929469.1,6309,4,6.840858913489704,0.03758325404376784
Neurospora_crassa,NW_011929470.1,4755,4,6.80841881295972,0.047979797979797977
Neurospora_crassa,NW_011929471.1,1646,4,7.789938157118414,0.155203895313451
Neurospora_crassa,NC_026614.1,64840,4,7.6304407148924005,0.003948362817527029
